topic,worksheet,books
Test 122,1840,
Test 123,1852,51
Test 124,1864,52
Test 125,1876,52
Test 126,1888,
Test 127,1900,53
Test 128,1912,53
3 Digit Subtraction w/ borrow (at either/or),1915,53
Test 129,1918,
3 Digit Subtraction,1920,
Test 130,1926,
Test 131,1935,
Test 132,1944,54
Test 133,1953,54
Test 134,1961,55
Test 135,1969,55
Test 136,1977,55
Test 137,1983,55
Triple x Single Multiply (Vertical) ,2010,56
Test 138,2012,56
Test 139,2033,
Triple x Double Multiply (Horizontal) ,2038,
Triple x Double Multiply (Vertical) ,2073,
Test 140,2049,57
Transition to Triple*Double Multiplication,2051,
Test 141,2078,58
Triple x Triple Multiply (Horizontal) ,2079,58
Triple x Triple Multiply (Vertical) ,2115,
Test 142,2096,
Transition to Triple*Triple Multiplication,2097,
Test 143,2126,59
Triple-Single Digit Division (V) (Within Tables) (Multiples of 10),2133,
Test 144,2136,
Triple-Single Digit Division (V) (Within Tables),2143,
Test 145,2152,
Triple-Single Digit Division (V) (Beyond Tables),2154,60
Test 146,2161,60
Test 147,2175,60
Triple-Single Digit Division (V) (with remainder),2178,61
Test 148,2196,
Transition Sheet,2268,
Triple-Double Digit Division (mix) (V),2200,
Triple-Double Digit Division (mix) (V) (with reminader),2210,
Test 149,2214,
Write p/q form,2215,
Shade part of the whole,2217,
Division to Fraction,2220,62
Fraction to Division,2226,
Unit Fraction,2227,
Equivalent Fractions,2237,
Test 150,2243,
Mixed Fraction to Improper Fraction,2246,
Test 151,2249,
Improper to Mixed Fraction,2254,
Test 152,2255,
Addition of Like Fractions,2259,63
Test 153,2267,63
Subtraction of Like Fractions,2278,
Test 154,2279,
Addition of Fractions (Large Numbers),2282,
Subtraction of Fractions (Large Numbers),2285,
Add & Sub Fractions,2293,
Test 155,2288,
Test 156,2295,
Multiplication of Fractions,2297,
Test 157,2302,
Division of Fractions,2307,
Test 158,2309,
